productName,UUID,S0,S1,S2,S3,S4
Polycarbonatplatte,dcfd896b-9b7d-42a5-b47b-3643a8870e6a,0.91,0.29,0.51,0.705,0.035
Bewehrungsstahl,f6861618-5a92-4c3a-94ba-9f7329b29662,0.37,0.0,0.98,0.02,0.005
Schnittholz Kiefer ,0b87961e-ea66-4757-b483-229ece59cb97,0.945,0.135,0.785,0.31,0.19
PUR/PIR DÃ¤mmstoff (32 kg/mÂ³),b960f95d-466b-4014-9565-64e51407a364,0.86,0.055,0.395,0.395,0.115
Naturbims KÃ¶rnung,18563fde-e042-4c4f-9a28-01de646ea9ef,0.93,0.18,0.605,0.36,0.18
PIR Hartschaum (250 kg/mÂ³),355dbd58-78dc-45cc-be8a-43d66d117e15,0.875,0.04,0.34,0.41,0.105
Stahl warmgewalzte Bleche (2-20mm),fb5aca98-636a-4dcb-b0dd-9ed09117486e,0.97,0.0,0.99,0.01,0.005
Schnittholz Fichte,f00557bd-5b73-4624-8c7b-834db8e8b106,0.945,0.135,0.785,0.31,0.19
Bimssand,5b1356cc-f9f5-46d8-b8ae-21d0a426baf4,0.93,0.18,0.605,0.36,0.18
Pfosten/Riegelsystem aus Stahl,1e56bbe7-38f8-40a5-817b-8fa10c56a66e,0.81,0.0,0.85,0.2,0.065
Steinzeugfliesen glasiert,5618689c-57a8-4860-85d3-7403ad5ba201,0.97,0.38,0.725,0.29,0.015
BlÃ¤hglas KÃ¶rnung,dad163a2-a15b-48e0-a763-6142445b5d42,0.92,0.185,0.8,0.57,0.19
Pfosten/Riegel aus Aluminium,f18ac191-cfcc-4068-a6c5-38ba25442d9b,0.785,0.0,0.62,0.455,0.1
Schnittholz Eiche,17bcb2ce-39fd-400b-baf9-370c63589efd,0.945,0.135,0.785,0.31,0.19
BlÃ¤hschiefer,e3dce4ce-b205-41b0-a033-ca8c6b1eaed0,0.92,0.185,0.8,0.57,0.19
Polyethylen-Schaum,52ac8701-d612-4cc9-8037-b2dc2a293a8c,1.0,0.0,0.12,0.845,0.0
Steinzeugfliesen unglasiert,91935678-1a09-43e0-8a84-294522407ac3,0.97,0.38,0.725,0.29,0.015
BlÃ¤hton KÃ¶rnung,67c9d57a-872a-4614-8be8-37ecaf9952e4,0.92,0.185,0.8,0.57,0.19
"Schiefer, unhandelt",909a1f8a-00d8-436f-86f9-77e0ee840a88,0.93,0.005,0.645,0.265,0.025
Schnittholz Buche ,67b6c807-3924-4bc5-b983-6aeff6537e45,0.945,0.135,0.785,0.31,0.19
BlÃ¤hton Sand,8ac5659c-5918-41bb-966d-91efdd6c4e50,0.93,0.18,0.605,0.36,0.18
PVC-Dachbahnen - nicht rÃ¼ckbaubar (Neueinstuf.),ab14e105-1768-4cd7-bcd2-3436c16fad16,0.36,0.025,0.135,0.21,0.635
StrohdÃ¤mmung,e45e2b55-a8c4-4037-bc7d-e3718c4e28f3,0.695,0.36,0.29,0.29,0.005
Lava KÃ¶rnung,2812667f-8ca5-4ee1-a9ac-7ed13045b7ff,0.92,0.185,0.8,0.57,0.19
"Natursteinplatte, weich, Fassade",b3e4257b-bdb7-4da2-9c33-990243dd4aa8,0.78,0.35,0.89,0.515,0.09
Brettschichtholz Nadelholz,86138863-3c1c-4345-9ae9-03ba28a5f9a7,0.945,0.135,0.785,0.31,0.19
Perlite 0-1,ad49148a-69c3-41b5-9cbb-d93a31f1fd17,0.92,0.185,0.8,0.57,0.19
"Natursteinplatte, hart, Innenboden (Dicke 0,02 m)",c241605d-34f1-44db-bf07-78610e849edb,0.78,0.35,0.89,0.515,0.09
"Stahl Feinblech (0,3-3,0mm), unverzinkt",89318772-3a50-4f56-9839-d0a8c702e396,0.97,0.0,0.99,0.01,0.005
"Transportbeton C50/60 - exkl. Bewehrung, Standard EoL",0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b,0.785,0.0,0.62,0.455,0.1
Perlite 0-3,d69a69ca-9323-4a28-81f7-ed8b457080c6,0.92,0.185,0.8,0.57,0.19
"Transportbeton C30/37 - exkl. Bewehrung, Standard EoL",d6f982e3-beda-49f0-a298-694fcbf3ba38,0.785,0.0,0.62,0.455,0.1
"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL",20b0761f-99e0-48db-b1e4-0fdb1b7739ef,0.785,0.0,0.62,0.455,0.1
PVC FuÃbodenbelag,fde18fdc-ca6b-41d3-9918-aab96177fc24,0.865,0.12,0.875,0.04,0.055
"Betonfertigteil Decke 20cm - exkl. Bewehrung, Standard EoL",45e6dcac-70b9-4982-bf04-4ff566facba1,0.785,0.0,0.62,0.455,0.1
"Betonfertigteil Wand 12cm  - exkl. Bewehrung, Standard EoL",97b971c7-8d43-4650-bfd6-75fdcf9a2101,0.785,0.0,0.62,0.455,0.1
Schaumglasplatten,7091503e-34e5-44cd-9acb-7c2f16f6097f,0.98,0.045,0.85,0.18,0.03
Porenbeton P4 05 bewehrt,45e2894f-09e7-4152-a4bd-8a13f6d5b0c3,0.865,0.235,0.89,0.73,0.105
Beton-Mauersteine - Standard EoL,2cdcffc6-84e9-4238-b8af-beebabea9a2d,0.785,0.0,0.62,0.455,0.1
Konstruktionsvollholz - beschichtet,6b363ddc-f127-4d44-9f4b-54daada07465,0.86,0.125,0.7,0.305,0.205
"Porenbeton P4 05 unbewehrt, Rho 472 kg/mÂ³",f1e6c40e-3f2e-4435-9fd8-abc2dd96c38c,0.865,0.235,0.89,0.73,0.105
Recycling Transportbeton C20/25 - exkl. Bewehrung,8f11c179-e367-4833-93f3-10597923c79c,0.785,0.0,0.62,0.455,0.1
Recycling Transportbeton C25/30 - exkl. Bewehrung,61c0c795-7116-407d-8635-68fe422f76a9,0.785,0.0,0.62,0.455,0.1
"Porenbeton P2 04 unbewehrt, Rho 380 kg/mÂ³",c5310f2b-23a1-4059-ba25-80d9b3e933f5,0.865,0.235,0.89,0.73,0.105
Recycling Transportbeton C30/37 - exkl. Bewehrung,3e15eb88-e824-4a81-972a-45e06930aa19,0.785,0.0,0.62,0.455,0.1
SchÃ¼ttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),8f6daa87-b2ee-4eb0-95e0-737ac8c6a59f,0.99,0.045,0.11,0.745,0.02
Balkenschichtholz Nadelholz - beschichtet,aeab0f39-5eab-422f-8c4b-822bb98aa63c,0.86,0.125,0.7,0.305,0.205
Recycling Transportbeton C50/60  - exkl. Bewehrung,732a4fb1-1017-4682-ac12-49a256354964,0.785,0.0,0.62,0.455,0.1
Porenbeton Granulat,01f45a03-460d-4e55-b5c9-72d3e8eda18e,0.93,0.18,0.605,0.36,0.18
SplittschÃ¼ttung mineral. geb.,,0.95,0.215,0.705,0.385,0.015
Tragdeckschicht  Beton,c6f77799-ed43-4ec4-bfc3-0759e41b60ca,0.785,0.0,0.62,0.455,0.1
"Transparente Platten PMMA, gegossen",f7646e58-4d38-4bc0-b908-e4207c9f2a89,0.91,0.29,0.51,0.705,0.035
Schnittholz Zeder ,8bed6eec-b795-4585-b036-77f4344c1cf9,0.945,0.135,0.785,0.31,0.19
"Transportbeton C20/25 - exkl. Bewehrung, Standard EoL",e3d7a045-ee91-43ac-8fb4-a5216c65ba0b,0.785,0.0,0.62,0.455,0.1
"Transparente Platten PMMA, extrudiert",7a265769-b70e-4cbb-a9ac-f6af4e55f8a6,0.91,0.29,0.51,0.705,0.035
Dampfbremse PA,c4293a12-5023-4e57-bdcd-9b52fbfa6a58,1.0,0.0,0.0,1.0,0.0
Stabparkett,2b389c60-468e-4f3e-abfa-f279262ecd5d,0.955,0.31,0.725,0.375,0.175
Transparente Platten PC,b2ba83d3-0427-404c-8c27-f551d0a26bd3,0.91,0.29,0.51,0.705,0.035
Schnittholz LÃ¤rche,9f6cf0e4-7455-4c31-a99f-552926c4040e,0.945,0.135,0.785,0.31,0.19
Thermisch behandeltes Holz,ee8691c4-00f9-4724-bb79-8043c62ce41e,0.95,0.64,0.705,0.185,0.63
"Natursteinplatte, weich, Innenboden (Dicke 0,020 m)",37a63555-2ac1-45e8-b802-6d947f30b99a,0.78,0.35,0.89,0.515,0.09
PVC Plastisol,fabf4cb9-5298-442c-8a8b-f6312e39d5af,0.605,0.05,0.285,0.305,0.335
"Bitumen Emulsion (40% Bitumen, 60% Wasser)",88c0f648-2316-4bbc-99b3-dbc636580088,0.605,0.05,0.285,0.305,0.335
Bitumenbahnen PYE PV 200 S5 (ungeschiefert) (Polyestervlies),c984526a-18b5-45c1-a2eb-7b95466e8426,0.93,0.05,0.245,0.86,0.04
Mehrschichtparkett  (unproblem. beschichtet),19c8f194-c3ab-4797-9b1a-8f1788bf12d8,0.95,0.215,0.705,0.385,0.015
"Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser)",6ade4721-3262-4024-ab99-0265972b38bf,0.605,0.05,0.285,0.305,0.335
Vormauerziegel (ohne MÃ¶rtel),1401638f-b9d7-4b33-9444-b072e2756f49,0.885,0.0,0.535,0.485,0.205
Mineralwolle (Innenausbau-DÃ¤mmung),a5b22bbe-175d-4aef-bb19-4954e699eb8c,1.0,0.0,0.0,1.0,0.0
"Bitumenbahnen V 60 (Glasvlies, bestreut)",23b67663-f4b0-445e-bbba-b741a59d57e6,0.93,0.05,0.245,0.86,0.04
Kautschuk-Dichtmasse,a2f0ddd4-a64e-4be8-a844-922013a2ac37,0.605,0.05,0.285,0.305,0.335
Zellulosefaserplatten,3f764d2e-320b-4996-8c28-0f38e8971044,0.91,0.29,0.47,0.785,0.035
Aluminiumblech,143a4df2-563e-4ef9-b75b-90e1cf9f7ef9,0.97,0.005,0.96,0.05,0.01
Glasvlies,71be07b3-39ff-47ce-b1c9-9c536daeb56e,0.605,0.05,0.285,0.305,0.335
Mineralwolle (Flachdach-DÃ¤mmung),60311c13-53d4-4cee-8777-1f9c9889b770,1.0,0.0,0.0,1.0,0.0
Messing-Bauteil,fd3a4016-3f8c-4d8e-8bba-73b349781002,0.93,0.005,0.645,0.265,0.025
Wood-Plastic-Composites (halogenfrei),591b693f-8cfe-41fc-877d-68c730d9c31d,0.995,0.0,0.22,0.695,0.0
"Natursteinplatte, hart, Fassade (Dicke 0,030 m)",e2e9d29e-c775-4eef-af57-de8194db7524,0.78,0.35,0.89,0.515,0.09
Mineralwolle (Fassaden-DÃ¤mmung),50d421e2-3a7b-4659-92a4-f20d6a52fcf0,1.0,0.0,0.0,1.0,0.0
Bitumenbahnen PYE-PV 200 S5 ns (geschiefert) (Polyestervlies),25db4367-38c5-4483-b392-4fc071170e5e,0.93,0.05,0.245,0.86,0.04
Glasfaser-Armierung,b3bb06b1-fefb-4e57-99ee-aa113000343b,0.605,0.05,0.285,0.305,0.335
Silikon-Dichtmasse,c5a154b1-c5af-4c43-a1a8-51113f608131,0.605,0.05,0.285,0.305,0.335
Zellulosefaser Einblas-DÃ¤mmstoff,5fac6347-55b0-47be-9118-d8229d7e62c4,0.965,0.005,0.29,0.29,0.02
Mineralwolle (Boden-DÃ¤mmung),ac779922-219f-4730-9aef-a7da84d334c1,1.0,0.0,0.0,1.0,0.0
"Mineralfaser Deckenplatten (Dicke 0,015 m)",4160dc95-17a6-49c0-9a56-66d062c5c632,1.0,0.0,0.0,1.0,0.0
Mineralwolle (SchrÃ¤gdach-DÃ¤mmung),d3661bd8-0107-4081-987b-4bdd5cfcb68d,1.0,0.0,0.0,1.0,0.0
Armierung (fÃ¼r Kunstharzspachtel),d4a53a6a-2a78-4f43-90e1-aca206cb5668,0.605,0.05,0.285,0.305,0.335
Marmorplatte ,03ed395a-bc7b-4287-9013-8ba3ac1a2900,0.47,0.12,0.895,0.75,0.065
Waschbims,efd7fbad-374b-459f-bd23-07e064da533a,0.92,0.185,0.8,0.57,0.19
"Natursteinplatte, hart, AuÃenbereich (Dicke 0,08 m)",f82e3ab8-d7bb-4765-a60c-bfe78ede1565,0.78,0.35,0.89,0.515,0.09
"Vakuum-Isolations-Paneel (VIP), unkaschiert",852b71e6-404e-4056-b87f-34686f292adc,0.92,0.165,0.835,0.415,0.16
Lose HobelspandÃ¤mmung,33c70403-553e-442c-ac5b-0ee86cceffd6,0.995,0.005,0.47,0.415,0.01
Polyisobutylen (PIB) Kunststoffdachbahn,91412f3f-6077-44d4-9c9d-95c543bcb419,1.0,0.0,0.0,1.0,0.0
Splittmastixasphalt SMA,d24a85e3-f395-4124-9874-c01f977a893f,0.97,0.19,0.88,0.57,0.175
Bims-Planstein (SFK-4),2e31cc41-fa94-442a-b19b-48d82c3555d8,0.935,0.09,0.655,0.92,0.01
Dachbahnen EPDM,498cd894-8ae6-458c-b874-9022cb148409,1.0,0.0,0.0,1.0,0.0
Steinwolle Heizungsrohrschale,daba3305-6fa0-4035-bcd7-0e3534a01586,1.0,0.0,0.0,1.0,0.0
Zementestrich,86d919ee-8f30-4ca4-9b7e-717aecba6ac0,0.815,0.26,0.72,0.95,0.075
Aluminium Profil,3feca796-791b-46d3-8160-95ef243ffb9d,0.94,0.005,0.745,0.34,0.035
BlÃ¤hton LB Hohlblockstein Trennwand,1c681356-2541-43e7-b1d4-9c4d0a936a08,0.935,0.09,0.655,0.92,0.01
Asphalttragschicht - Infrastruktur,9795c91c-0918-46fa-8a51-47deb180c271,0.94,0.005,0.745,0.34,0.035
Steinwolle FlachdÃ¤mmplatte,5ad90c89-55b4-495f-9879-9b19356a2d1a,1.0,0.0,0.0,1.0,0.0
Vegetationssubstrat,8bdc6332-4d94-44c1-9975-a236ff7a3349,0.93,0.005,0.645,0.265,0.025
Gussasphalt,b29d88ed-8621-4ece-9e2f-78af05cb3f0f,0.97,0.19,0.88,0.57,0.175
Asphalttragschicht - Hochbau,,0.97,0.19,0.88,0.57,0.175
"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",,0.945,0.135,0.785,0.31,0.19
Brettsperrholz,,0.945,0.135,0.785,0.31,0.19
Konstruktionsvollholz - naturbelassen,,0.945,0.135,0.785,0.31,0.19
Beton - Carbonfasern / Textilbeton ,,0.96,0.155,0.215,0.455,0.015
Bitumenbahnen mit Alu oder Kupfer,,0.52,0.035,0.17,0.315,0.425
Polymer-Bitumenabdichtungsbahn,,0.93,0.05,0.245,0.86,0.04
Elastomer-Dachbahnen,,1.0,0.0,0.0,1.0,0.0
PIB-Dachbahnen (Polyisobutylen),,1.0,0.0,0.0,1.0,0.0
PP-/PE Folie,,1.0,0.0,0.0,1.0,0.0
BlÃ¤hglasgranulatplatte,,0.955,0.055,0.915,0.945,0.005
BlÃ¤hperlit-Platten,,0.885,0.505,0.985,0.34,0.28
DFF: Alu-Kunststoff-Komposit [kg/mÂ² Rahmen],,0.035,0.97,0.025,0.025,0.0
DFF: Kunststoffrahmen PVC  [kg/mÂ² Rahmen],,0.035,0.97,0.025,0.025,0.0
Kunststoffrahmen PVC mit Aludeckschale [kg/mÂ² Rahmen],,0.035,0.97,0.025,0.025,0.0
DFF: Alu-Holz-Komposit-Rahmen [kg/mÂ² Rahmen],,0.945,0.46,0.625,0.26,0.49
"Holzrahmen Fichte mit Aludeckschale [kg/mÂ² Rahmen] t=0,088 ",,0.945,0.46,0.625,0.26,0.49
"Holzrahmen LÃ¤rche mit Aludeckschale [kg/mÂ² Rahmen] t=0,088 ",,0.945,0.46,0.625,0.26,0.49
"Holzrahmen PH mit Aludeckschale [kg/mÂ² Rahmen] t=0,155 ",,0.945,0.46,0.625,0.26,0.49
DFF: Alu-Holz-Komposit-Rahmen [kg/mÂ² Rahmen] ohne HSM,,0.95,0.25,0.65,0.35,0.2
"Holzrahmen Fichte mit Aludeckschale [kg/mÂ² Rahmen] t=0,088 ohne HSM",,0.95,0.25,0.65,0.35,0.2
"Holzrahmen LÃ¤rche mit Aludeckschale [kg/mÂ² Rahmen] t=0,088 ohne HSM",,0.95,0.25,0.65,0.35,0.2
"Holzrahmen PH mit Aludeckschale [kg/mÂ² Rahmen] t=0,155 ohne HSM",,0.95,0.25,0.65,0.35,0.2
"DFF: Holzrahmen Fichte, beschichtet [kg/mÂ² Rahmen]",,0.945,0.46,0.625,0.26,0.49
"DFF: Holzrahmen LÃ¤rche, beschichtet [kg/mÂ² Rahmen]",,0.945,0.46,0.625,0.26,0.49
OSB Platte,,0.02,0.015,0.995,0.985,0.005
EPS-HartschaumdÃ¤mmung - Sz. Creasolv,,0.99,0.025,0.16,0.715,0.0
EPS-HartschaumdÃ¤mmung - Sz. Verbrennung,,1.0,0.0,0.23,0.725,0.0
"InnentÃ¼r Metallzarge lackiert, Gewicht/lfm, d (IW)=10cm",,0.935,0.0,0.76,0.31,0.02
"InnentÃ¼r Metallzarge lackiert, Gewicht/lfm, d (IW)=20cm",,0.935,0.0,0.76,0.31,0.02
"InnentÃ¼r Metallzarge lackiert, Gewicht/Stk, d (IW)=10cm, TÃ¼rlichte 0,9 x 2,0",,0.935,0.0,0.76,0.31,0.02
"InnentÃ¼r Metallzarge lackiert, Gewicht/Stk, d (IW)=20cm, TÃ¼rlichte 0,9 x 2,0",,0.935,0.0,0.76,0.31,0.02
HanfdÃ¤mmplatte (druckbelastet),,0.915,0.29,0.46,0.78,0.035
HanfdÃ¤mmplatte (nicht druckbelastet),,0.915,0.29,0.46,0.78,0.035
Gips-Kalk-Putz auf Massivbaustoff,,0.815,0.26,0.72,0.95,0.075
Kalk-Gips-Innenputz auf Massivbaustoff,,0.815,0.26,0.72,0.95,0.075
Glaskeramik-Tafeln (Fassade),,0.785,0.0,0.62,0.455,0.1
Hartholzfaser-Platten,,0.845,0.57,0.745,0.63,0.31
HDF-Platte,,0.72,0.565,0.785,0.825,0.165
MDF-Platte,,0.72,0.565,0.785,0.825,0.165
"Hochlochziegel (hochporosiert), ohne MÃ¶rtel / Kleb.",,0.94,0.085,0.8,0.745,0.025
"Hochlochziegel mineralisch gefÃ¼llt, ohne MÃ¶rtel / Kleb.",,0.89,0.195,0.88,0.805,0.12
Holzdielenboden - unproblem. Beschichtet,,0.86,0.125,0.7,0.305,0.205
"InnentÃ¼r (Pappe mit Wabenstruktur), Fl.gew.8 kg/mÂ², laminiert oder lackiert ",,1.0,0.0,0.57,0.42,0.0
"InnentÃ¼r (RÃ¶hrenspanplatte), Fl.gew.15 kg/mÂ², laminiert oder lackiert ",,1.0,0.0,0.57,0.42,0.0
"InnentÃ¼r (RÃ¶hrenspanstreifen), Fl.gew.12 kg/mÂ², laminiert oder lackiert ",,1.0,0.0,0.57,0.42,0.0
"InnentÃ¼r (Vollspanplatte), Fl.gew.23 kg/mÂ², laminiert oder lackiert",,0.99,0.015,0.65,0.59,0.01
"InnentÃ¼r (Vollspanplatte), Fl.gew.34 kg/mÂ², laminiert oder lackiert",,0.99,0.015,0.65,0.59,0.01
"InnentÃ¼r Massivholz, lackiert, Fl.gewicht 12 kg/mÂ²",,0.865,0.0,0.755,0.33,0.045
"InnentÃ¼r Massivholz, unbehandelt oder geÃ¶lt, Fl.gew. 12 kg/mÂ²",,0.945,0.135,0.785,0.31,0.19
Leichtputz mineralisch (mineral. Untergrund),,0.885,0.28,0.605,0.605,0.14
Silikat-Dispersionsputz (mineral. Untergrund),,0.885,0.28,0.605,0.605,0.14
Silikatputz,,0.985,0.055,0.095,0.305,0.015
Silikonharzputz,,0.985,0.055,0.095,0.305,0.015
Lehmbauplatte,,0.81,0.485,0.875,0.635,0.12
Lehmfarbe,,0.985,0.15,0.93,0.625,0.13
Lehm-Klebe- und HaftmÃ¶rtel,,0.92,0.11,0.72,0.53,0.04
Lehmputz,,0.92,0.11,0.72,0.53,0.04
Lehmputz mit CL-Nachweis,,0.95,0.005,0.615,0.385,0.085
LehmschÃ¼ttung granuliert,,0.885,0.14,0.7,0.41,0.015
Lehmstein,,0.885,0.14,0.7,0.41,0.015
Stampflehmwand,,0.885,0.14,0.7,0.41,0.015
LehmschÃ¼ttung granuliert mit CL-Nachweis ,,0.93,0.005,0.645,0.265,0.025
Leichtlehm (Stroh-Lehm-Gemisch),,0.905,0.125,0.75,0.645,0.01
Leichtlehmputz,,0.94,0.085,0.8,0.745,0.025
"Lichtkuppel Aufsatzkranz, PP SchÃ¼rze 30cm [kg/lfm]",,0.995,0.0,0.22,0.695,0.0
Magnesiaestrich / Steinholzestrich,,0.965,0.275,0.325,0.4,0.185
PE Weichschaum,,1.0,0.0,0.12,0.845,0.0
PE-Drainageplatten,,0.91,0.29,0.465,0.79,0.035
PVC-Dachbahnen,,0.825,0.03,0.305,0.39,0.17
Schafwolle (mit Flammschutzmittel),,1.0,0.0,0.365,0.515,0.005
Schafwolle (ohne Zusatzstoffe),,0.97,0.0,0.235,0.395,0.01
Schaumglasgranulat SchÃ¼ttung,,0.9,0.115,0.565,0.37,0.01
SchilfrohrdÃ¤mmmatte,,0.86,0.145,0.39,0.615,0.035
Schilfrohrmatte (PutztrÃ¤ger),,0.905,0.105,0.435,0.695,0.06
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)",,0.975,0.14,0.18,0.605,0.015
Wood-Plastic-Composites,,0.605,0.05,0.285,0.305,0.335
